PMID,Type,Sujet,DOI,URL,Pertinence_Jiani,Note_détail,Verification_date,PDF_path
CSSR-036,CSSR,Macrocycle planning competitif U14 = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-037,CSSR,Prévention blessures valgus = OUI TRÈS PERTINENT (Jiani valgus 5.1×),,,🟢🟢 HIGH,,2026-08-13,
CSSR-038,CSSR,Endurance spécifique tennis + test progressif; sciences appliquées haut niveau jeunes = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-039,CSSR,Monographie détection talents + profils psychologiques champions; psychologie stress compétiteur = OUI TRÈS,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-040,CSSR,Échauffement haut niveau pourrait être intéressant,,,🟡 PARTIEL,,2026-08-13,
CSSR-041,CSSR,Tests fonctionnels + exercices correctifs = directement lié à correction valgus Jiani,,,🟡 PARTIEL,,2026-08-13,
CSSR-042,CSSR,Play and Stay débutants = Jiani compétitrice haut niveau,,,🔴 NON,,2026-08-13,
CSSR-043,CSSR,Entraînement intégré terrain = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-044,CSSR,Psychologie enfants compétition = OUI TRÈS,,,🟢🟢 HIGH,,2026-08-13,
CSSR-045,CSSR,Technique coups fonds avancé = OUI; MAIS seniors-focused,,,🟡 PARTIEL,,2026-08-13,
CSSR-046,CSSR,Préparation mentale jeunes élites = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-047,CSSR,Vibration + périodisation + régénération + prophylaxie = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-048,CSSR,Double jeunes; utilité = oui MAIS pas prioritaire Jiani,,,🟡 PARTIEL,,2026-08-13,
CSSR-049,CSSR,Développement talent + pratique délibérée; analyse tactique match = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-050,CSSR,Apprentissage moteur jeunes + technique = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-051,CSSR,Tennis 10s + Play and Stay débutants U10 = Jiani compétitrice haut niveau (dépasse),,,🔴 NON,,2026-08-13,
CSSR-052,CSSR,Perfectionnisme + mindset + stress = garder; psychologie jeunes = OUI MAIS débutants-focused,,,🟡 PARTIEL,,2026-08-13,
CSSR-053,CSSR,Anxiété compétition jeunes = OUI TRÈS,,,🟢🟢 HIGH,,2026-08-13,
CSSR-054,CSSR,Formation d'entraîneurs accréditation systèmes = administratif (non-pertinent Jiani),,,🔴 NON,,2026-08-13,
CSSR-055,CSSR,Récupération jeune joueur + imagerie motrice service + top 100 progression = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-056,CSSR,Tactique haut niveau terre battue = OUI; MAIS contexte seniors-focused,,,🟡 PARTIEL,,2026-08-13,
CSSR-057,CSSR,Récupération (partie 2) + parents implication + vitesse service fatigue = partiel,,,🟡 PARTIEL,,2026-08-13,
CSSR-058,CSSR,TRX + obstacles mentaux; fatigue performance endurance force = pertinent MAIS contexte général,,,🟡 PARTIEL,,2026-08-13,
CSSR-059,CSSR,Tennis jeunes aperçu médical + talents détection + anxiety analyse = OUI TRÈS,,,🟢🟢 HIGH,,2026-08-13,
CSSR-060,CSSR,Apprentissage moteur implicite + contraintes = OUI; MAIS fondamentaux généraux,,,🟡 PARTIEL,,2026-08-13,
CSSR-061,CSSR,Gestion émotionnelle + prévention blessures unipodal + charge VFC + anxiété = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-062,CSSR,Technologie analyse + coup droit variation = OUI; MAIS contexte général,,,🟡 PARTIEL,,2026-08-13,
CSSR-063,CSSR,Récupération intensive jeunes = CRITICAL pour Jiani,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-064,CSSR,Caractéristiques physiologiques joueurs + retour service adaptation + trunk stabilité = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-065,CSSR,Confiance + humeur junior + compétences émotionnelles = garder; ⚠️ IGNORER coordination si <U10,,,🟡 PARTIEL,,2026-08-13,
CSSR-066,CSSR,LTAD + plan de jeu utiles; développement long-terme athlète + glucose consommation = OUI MAIS contexte général,,,🟡 PARTIEL,,2026-08-13,
CSSR-067,CSSR,Résolution problèmes tennis + gestion émotionnelle entraîneur + communication jeunes = partiel,,,🟡 PARTIEL,,2026-08-13,
CSSR-068,CSSR,Communication entraîneur-joueur + endurance spécifique tennis + transition junior-pro = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-069,CSSR,Bloc complet U10-U12 (vitesse/équilibre/force <12 ans) — hors tranche d'âge Jiani,,,🔴 NON,,2026-08-13,
CSSR-070,CSSR,Pleine conscience + travail psychologues sport = OUI TRÈS,,,🟢🟢 HIGH,,2026-08-13,
CSSR-071,CSSR,Évaluation condition physique utile; conditions physiques développement = OUI MAIS contexte professionnel,,,🟡 PARTIEL,,2026-08-13,
CSSR-072,CSSR,Play and Stay 10e anniversaire = débutants; Jiani compétitrice,,,🔴 NON,,2026-08-13,
CSSR-073,CSSR,Distance lancer service élite juniors + TrackMan + entraînement polarisé = data élite directe pour Jiani,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-074,CSSR,Calendrier compétition + morphofonctionnel juniors; apprentissage moteur + mémoire musculaire + technique = OUI TRÈS,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-075,CSSR,Multi-sports + défaut d'alignement (lien valgus); gestion émotions + double jeunes + vidéo feedback = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-076,CSSR,Top 8 retour service utile; technologie résultats + coup droit technique = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-077,CSSR,Apprentissage moteur 3-4 ans (trop jeune); blessures junior = OUI partiel,,,🟡 PARTIEL,,2026-08-13,
CSSR-078,CSSR,Perfectionnisme orienté autrui + commotion cérébrale + service technique = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-079,CSSR,Capacité aérobie tennis + langage corporel performance = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-080,CSSR,Charge entraînement quantification + mental skills + perception développement = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-081,CSSR,COVID-19 adaptatif; santé mentale pandémie = contexte 2020 (obsolète),,,🔴 NON,,2026-08-13,
CSSR-082,CSSR,Chaîne cinétique fermée; test Sigma + position tête + routine préparation service = oui MAIS techno-focused,,,🟡 PARTIEL,,2026-08-13,
CSSR-083,CSSR,Cinématique service jeunes vs pro; menaces matchs truqués + blessures ado filles + accélération latérale = utile,,,🟢🟢 HIGH,,2026-08-13,
CSSR-084,CSSR,Tactique constraints-based + mental coaching jeunes élites + multisports = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-085,CSSR,Focus 4-6 ans (trop jeune); Jiani U14 compétitrice dépasse ce niveau,,,🔴 NON,,2026-08-13,
CSSR-086,CSSR,Périodisation force/cond. 6 sem. junior élite utile (ignorer Play&Stay U10); philosophie coaching = partiel,,,🟡 PARTIEL,,2026-08-13,
CSSR-087,CSSR,Gestion clubs/administration = non-pertinent pour athlète,,,🔴 NON,,2026-08-13,
CSSR-088,CSSR,Charge entraînement U15 élites + footwork + temps réaction + hydratation = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-089,CSSR,Apprentissage moteur (learn-move-compete) + HIIT + théories acquisition compétences = OUI,,,🟢🟢 HIGH,,2026-08-13,
CSSR-090,CSSR,Gestion fédérations nationales/gouvernance = administratif non-pertinent Jiani athlète,,,🔴 NON,,2026-08-13,
CSSR-091,CSSR,Biomécanique développement + parentalité joueur junior = oui MAIS contexte général,,,🟡 PARTIEL,,2026-08-13,
CSSR-092,CSSR,Séquences service sub-12/sub-14 = tranche d'âge exacte; muscles haut du corps + routine motivation mentale + performance + pathologies prevention = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
CSSR-093,CSSR,Développement international/sociologie/gouvernance fédérations = administratif,,,🔴 NON,,2026-08-13,
CSSR-094,CSSR,Muscles bas du corps + pleine conscience performance + HRV psychophysiologie + élite development bioécologie = CRITICAL,,,🟢🟢🟢 TRES HAUTE,,2026-08-13,
34335307,PMID,Adaptations musculaires stretching 12-semaines adolescente athlète,,https://pubmed.ncbi.nlm.nih.gov/34335307/,🟢🟢 HIGH,"Muscle Architectural and Functional Adaptations Following 12-Weeks of Stretching in Adolescent Female Athletes",2026-08-15,
25098662,PMID,Adaptations épaule spécifique tennis elite adolescent,,https://pubmed.ncbi.nlm.nih.gov/25098662/,🟢🟢 HIGH,"Age-Related, Sport-Specific Adaptions of the Shoulder Girdle in Elite Adolescent Tennis Players",2026-08-15,
20587640,PMID,Profil scapulothoracique force mobilité tennis elite adolescent,,https://pubmed.ncbi.nlm.nih.gov/20587640/,🟢🟢 HIGH,"Descriptive profile of scapulothoracic position, strength and flexibility variables in adolescent elite tennis players",2026-08-15,
34303312,PMID,ROM épaule force rotateur performance haut-corps junior tennis,,https://pubmed.ncbi.nlm.nih.gov/34303312/,🟢🟢 HIGH,"Shoulder Range of Motion, Rotator Strength, and Upper-Extremity Functional Performance in Junior Tennis Players",2026-08-15,
17387220,PMID,Profil ROM hanche rotation tennis elite baseball,,https://pubmed.ncbi.nlm.nih.gov/17387220/,🟢🟢 HIGH,"Descriptive profile of hip rotation range of motion in elite tennis players and professional baseball pitchers",2026-08-15,
35915044,PMID,Relative Energy Deficiency in Sport RED-S nutrition,,https://pubmed.ncbi.nlm.nih.gov/35915044/,🟢🟢 HIGH,"Relative Energy Deficiency in Sport (RED-S)",2026-08-15,
38337644,PMID,Female Athlete Triad RED-S management nutrition,,https://pubmed.ncbi.nlm.nih.gov/38337644/,🟢🟢 HIGH,"Female Athlete Triad and Relative Energy Deficiency in Sport (REDs): Nutritional Management",2026-08-15,
36185661,PMID,Protein recommendations adolescent athlète regime bas-carbone,,https://pubmed.ncbi.nlm.nih.gov/36185661/,🟢🟢 HIGH,"Effectiveness of current protein recommendations in adolescent athletes on a low-carbon diet",2026-08-15,
39203939,PMID,Nutrition enfants adolescents sport revue narrative,,https://pubmed.ncbi.nlm.nih.gov/39203939/,🟢🟢 HIGH,"Nutrition for Children and Adolescents Who Practice Sport: A Narrative Review",2026-08-15,
36364775,PMID,Iron Deficiency adolescent jeune adulte athlete allemand,,https://pubmed.ncbi.nlm.nih.gov/36364775/,🟢🟢 HIGH,"Iron Deficiency in Adolescent and Young Adult German Athletes",2026-08-15,
37289381,PMID,Sante osseuse jeune athlete revue narrative,,https://pubmed.ncbi.nlm.nih.gov/37289381/,🟢🟢 HIGH,"Bone Health in Young Athletes: a Narrative Review of the Recent Literature",2026-08-15,
40003272,PMID,Enfants adolescents indices urines hydratation athletes,,https://pubmed.ncbi.nlm.nih.gov/40003272/,🟢🟢 HIGH,"Children, Adolescents and Urine Hydration Indices—A Systematic Literature Review on Athletes and Non-Athletes",2026-08-15,
34836328,PMID,Hydration status fluid replacement high-performance adolescent athlete,,https://pubmed.ncbi.nlm.nih.gov/34836328/,🟢🟢 HIGH,"Hydration Status and Fluid Replacement Strategies of High-Performance Adolescent Athletes",2026-08-15,
36833582,PMID,Perfectionism prosocial modele disconnection adolescent sport competitif,,https://pubmed.ncbi.nlm.nih.gov/36833582/,🟢🟢 HIGH,"Be Prosocial My Friend: The Social Disconnection Model of Perfectionism in Adolescents Immersed in Competitive Sport",2026-08-15,
37949505,PMID,Mental health jeune athlete,,https://pubmed.ncbi.nlm.nih.gov/37949505/,🟢🟢 HIGH,"Mental Health in the Youth Athlete",2026-08-15,
31248129,PMID,Self-talk training competitive anxiety efficacite volitional junior sub-elite,,https://pubmed.ncbi.nlm.nih.gov/31248129/,🟢🟢 HIGH,"Effects of Self-Talk Training on Competitive Anxiety, Self-Efficacy, Volitional Skills, and Performance: An Intervention Study with Junior Sub-Elite Athletes",2026-08-15,
40851578,PMID,Interventions psychologiques anxiety athletes meta-analyse,,https://pubmed.ncbi.nlm.nih.gov/40851578/,🟢🟢 HIGH,"Effects of psychological interventions on anxiety in athletes: a meta-analysis based on controlled trials",2026-08-15,
8532469,PMID,Intervention precompetition state anxiety elite junior tennis,,https://pubmed.ncbi.nlm.nih.gov/8532469/,🟢🟢 HIGH,"Effects of Intervention upon Precompetition State Anxiety in Elite Junior Tennis Players: The Relevance of the Matching Hypothesis",2026-08-15,
25251448,PMID,Stress psychophysiological responses training competition jeune fille tennis competitif,,https://pubmed.ncbi.nlm.nih.gov/25251448/,🟢🟢 HIGH,"Psychophysiological stress responses during training and competition in young female competitive tennis players",2026-08-15,
